Name,plot.ID,site,arbeitsname,Art,Schicht,Deckung
MT22,22,Meu_trock,WM22,Polytrichum formosum Hedw.,ML,18
MT22,22,Meu_trock,WM22,Betula pendula,SL,88
MT23,23,Meu_trock,WM23,Betula,HL,"0,5"
MT23,23,Meu_trock,WM23,Molinia caerulea caerulea,HL,38
MT23,23,Meu_trock,WM23,Pinus sylvestris,HL,"0,5"
MT23,23,Meu_trock,WM23,Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML,"0,1"
MT23,23,Meu_trock,WM23,Polytrichum formosum Hedw.,ML,18
MT24,24,Meu_trock,WM24,"Carex nigra (fusca, goodenowii)",HL,"0,5"
MT24,24,Meu_trock,WM24,Molinia caerulea caerulea,HL,38
MT24,24,Meu_trock,WM24,Pinus sylvestris,HL,"0,5"
MT24,24,Meu_trock,WM24,Vaccinium myrtillus,HL,"4,5"
MT24,24,Meu_trock,WM24,Polytrichum formosum Hedw.,ML,"4,5"
MT24,24,Meu_trock,WM24,Frangula alnus,SL,"0,5"
MT25,25,Meu_trock,WM25,Dryopteris carthusiana (spinulosa),HL,"4,5"
MT25,25,Meu_trock,WM25,Frangula alnus,HL,"0,5"
MT25,25,Meu_trock,WM25,Molinia caerulea caerulea,HL,18
MT25,25,Meu_trock,WM25,Vaccinium myrtillus,HL,38
MT25,25,Meu_trock,WM25,Campylopus pyriformis (K. F. Schultz) Brid.,ML,"0,1"
MT25,25,Meu_trock,WM25,Dicranum scoparium Hedw.,ML,"0,1"
MT25,25,Meu_trock,WM25,Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML,"0,5"
MT25,25,Meu_trock,WM25,Polytrichum formosum Hedw.,ML,38
MT25,25,Meu_trock,WM25,Frangula alnus,SL,"4,5"
MT26,26,Meu_trock,WM26,Betula,HL,"0,5"
MT26,26,Meu_trock,WM26,Dryopteris carthusiana (spinulosa),HL,18
MT26,26,Meu_trock,WM26,Frangula alnus,HL,"0,5"
MT26,26,Meu_trock,WM26,Molinia caerulea caerulea,HL,18
MT26,26,Meu_trock,WM26,Pinus sylvestris,HL,"0,5"
MT26,26,Meu_trock,WM26,Hypnum cupressiforme Hedw. ssp. cupr. var. cupressiforme,ML,"4,5"
MT26,26,Meu_trock,WM26,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT26,26,Meu_trock,WM26,Polytrichum formosum Hedw.,ML,18
MT26,26,Meu_trock,WM26,Sphagnum fimbriatum Wils. ex Wils. & J. D. Hook.,ML,"0,1"
MT26,26,Meu_trock,WM26,Frangula alnus,SL,38
MT27,27,Meu_trock,MO1,Betula,HL,"0,1"
MT27,27,Meu_trock,MO1,Dryopteris carthusiana (spinulosa),HL,18
MT27,27,Meu_trock,MO1,Molinia caerulea caerulea,HL,38
MT27,27,Meu_trock,MO1,Pinus sylvestris,HL,"0,1"
MT27,27,Meu_trock,MO1,Polytrichum formosum Hedw.,ML,"4,5"
MT27,27,Meu_trock,MO1,Frangula alnus,SL,"0,5"
MT28,28,Meu_trock,MO2,Dryopteris carthusiana (spinulosa),HL,"0,5"
MT28,28,Meu_trock,MO2,Frangula alnus,HL,"0,1"
MT28,28,Meu_trock,MO2,Molinia caerulea caerulea,HL,38
MT28,28,Meu_trock,MO2,Polytrichum formosum Hedw.,ML,"0,5"
MT28,28,Meu_trock,MO2,Frangula alnus,SL,63
MT29,29,Meu_trock,MO3,Betula,HL,"0,5"
MT29,29,Meu_trock,MO3,Dryopteris carthusiana (spinulosa),HL,"4,5"
MT29,29,Meu_trock,MO3,Frangula alnus,HL,"0,5"
MT29,29,Meu_trock,MO3,Molinia caerulea caerulea,HL,18
MT29,29,Meu_trock,MO3,Pinus sylvestris,HL,"0,1"
MT29,29,Meu_trock,MO3,Quercus robur,HL,"0,5"
MT29,29,Meu_trock,MO3,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT29,29,Meu_trock,MO3,Polytrichum formosum Hedw.,ML,"4,5"
MT29,29,Meu_trock,MO3,Frangula alnus,SL,63
MT30,30,Meu_trock,MO4,Dryopteris carthusiana (spinulosa),HL,"0,5"
MT30,30,Meu_trock,MO4,Frangula alnus,HL,"0,5"
MT30,30,Meu_trock,MO4,Molinia caerulea caerulea,HL,"4,5"
MT30,30,Meu_trock,MO4,Pinus sylvestris,HL,"0,1"
MT30,30,Meu_trock,MO4,Dicranum scoparium Hedw.,ML,"4,5"
MT30,30,Meu_trock,MO4,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT30,30,Meu_trock,MO4,Polytrichum formosum Hedw.,ML,"4,5"
MT30,30,Meu_trock,MO4,Frangula alnus,SL,63
MT31,31,Meu_trock,MO5,Frangula alnus,HL,"4,5"
MT31,31,Meu_trock,MO5,Molinia caerulea caerulea,HL,"0,5"
MT31,31,Meu_trock,MO5,Dicranum scoparium Hedw.,ML,"0,5"
MT31,31,Meu_trock,MO5,Polytrichum formosum Hedw.,ML,18
MT31,31,Meu_trock,MO5,Frangula alnus,SL,"4,5"
MT32,32,Meu_trock,MO6,Dryopteris carthusiana (spinulosa),HL,"0,1"
MT32,32,Meu_trock,MO6,Frangula alnus,HL,"0,1"
MT32,32,Meu_trock,MO6,Molinia caerulea caerulea,HL,"4,5"
MT32,32,Meu_trock,MO6,Polytrichum formosum Hedw.,ML,18
MT32,32,Meu_trock,MO6,Frangula alnus,SL,"0,5"
MT32,32,Meu_trock,MO6,Pinus sylvestris,SL,"4,5"
MT33,33,Meu_trock,MO7,Frangula alnus,HL,"0,5"
MT33,33,Meu_trock,MO7,Molinia caerulea caerulea,HL,38
MT33,33,Meu_trock,MO7,Polytrichum formosum Hedw.,ML,"0,5"
MT33,33,Meu_trock,MO7,Frangula alnus,SL,38
MT34,34,Meu_trock,MO8,Betula,HL,"0,5"
MT34,34,Meu_trock,MO8,Molinia caerulea caerulea,HL,38
MT34,34,Meu_trock,MO8,Pinus sylvestris,HL,"0,1"
MT34,34,Meu_trock,MO8,Polytrichum formosum Hedw.,ML,"0,1"
MT34,34,Meu_trock,MO8,Pinus sylvestris,SL,"0,5"
MT35,35,Meu_trock,MO9,Molinia caerulea caerulea,HL,38
MT35,35,Meu_trock,MO9,Polytrichum formosum Hedw.,ML,"4,5"
MT35,35,Meu_trock,MO9,Pinus sylvestris,SL,"4,5"
MT36,36,Meu_trock,MO10,Molinia caerulea caerulea,HL,18
MT36,36,Meu_trock,MO10,Campylopus pyriformis (K. F. Schultz) Brid.,ML,"0,1"
MT36,36,Meu_trock,MO10,Polytrichum formosum Hedw.,ML,18
MT36,36,Meu_trock,MO10,Sphagnum capillifolium (L.) Hedw. var. capillifolium (nemoreum),ML,"0,5"
MT37,37,Meu_trock,MO11,Molinia caerulea caerulea,HL,18
MT37,37,Meu_trock,MO11,Polytrichum formosum Hedw.,ML,18
MT37,37,Meu_trock,MO11,Betula pendula,SL,"0,5"
MT37,37,Meu_trock,MO11,Pinus sylvestris,SL,"4,5"
MT38,38,Meu_trock,MO12,Vaccinium myrtillus,HL,"4,5"
MT38,38,Meu_trock,MO12,Polytrichum formosum Hedw.,ML,18
MT39,39,Meu_trock,MO13,Frangula alnus,HL,"0,1"
MT39,39,Meu_trock,MO13,Molinia caerulea caerulea,HL,38
MT39,39,Meu_trock,MO13,Pinus sylvestris,HL,"0,5"
MT39,39,Meu_trock,MO13,Vaccinium myrtillus,HL,"0,5"
MT39,39,Meu_trock,MO13,Dicranum flagellare Hedw.,ML,"0,1"
MT39,39,Meu_trock,MO13,Lepidozia reptans (L.) Dum.,ML,"0,1"
MT39,39,Meu_trock,MO13,Lophocolea heterophylla (Schrad.) Dum.,ML,"0,1"
MT39,39,Meu_trock,MO13,Polytrichum formosum Hedw.,ML,18
MT39,39,Meu_trock,MO13,Frangula alnus,SL,"4,5"
MT39,39,Meu_trock,MO13,Pinus sylvestris,SL,"0,5"
MT40,40,Meu_trock,MO14,Betula,HL,"0,5"
MT40,40,Meu_trock,MO14,Frangula alnus,HL,"0,1"
MT40,40,Meu_trock,MO14,Molinia caerulea caerulea,HL,18
MT40,40,Meu_trock,MO14,Pinus sylvestris,HL,"0,5"
MT40,40,Meu_trock,MO14,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT40,40,Meu_trock,MO14,Polytrichum formosum Hedw.,ML,"4,5"
MT40,40,Meu_trock,MO14,Frangula alnus,SL,"0,5"
MT41,41,Meu_trock,MO15,Betula,HL,"0,5"
MT41,41,Meu_trock,MO15,Molinia caerulea caerulea,HL,18
MT41,41,Meu_trock,MO15,Pinus sylvestris,HL,"0,1"
MT41,41,Meu_trock,MO15,Vaccinium myrtillus,HL,"4,5"
MT41,41,Meu_trock,MO15,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT41,41,Meu_trock,MO15,Polytrichum formosum Hedw.,ML,38
MT41,41,Meu_trock,MO15,Frangula alnus,SL,"0,5"
MT42,42,Meu_trock,MO16,Betula,HL,"0,1"
MT42,42,Meu_trock,MO16,Dryopteris carthusiana (spinulosa),HL,"4,5"
MT42,42,Meu_trock,MO16,Molinia caerulea caerulea,HL,18
MT42,42,Meu_trock,MO16,Polytrichum formosum Hedw.,ML,38
MT43,43,Meu_trock,MO17,Dryopteris carthusiana (spinulosa),HL,"0,5"
MT43,43,Meu_trock,MO17,Molinia caerulea caerulea,HL,38
MT43,43,Meu_trock,MO17,Polytrichum formosum Hedw.,ML,"4,5"
MT44,44,Meu_trock,MO18,Dryopteris carthusiana (spinulosa),HL,"0,5"
MT44,44,Meu_trock,MO18,Molinia caerulea caerulea,HL,"4,5"
MT44,44,Meu_trock,MO18,Dicranum scoparium Hedw.,ML,"0,1"
MT44,44,Meu_trock,MO18,Polytrichum formosum Hedw.,ML,"0,1"
MT45,45,Meu_trock,MO19,Molinia caerulea caerulea,HL,63
MT45,45,Meu_trock,MO19,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT46,46,Meu_trock,MO20,Betula,HL,"0,1"
MT46,46,Meu_trock,MO20,Molinia caerulea caerulea,HL,63
MT46,46,Meu_trock,MO20,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT47,47,Meu_trock,MO21,Molinia caerulea caerulea,HL,63
MT47,47,Meu_trock,MO21,Vaccinium myrtillus,HL,"4,5"
MT47,47,Meu_trock,MO21,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT47,47,Meu_trock,MO21,Polytrichum formosum Hedw.,ML,"0,1"
MT48,48,Meu_trock,MO22,Betula,HL,"0,5"
MT48,48,Meu_trock,MO22,Molinia caerulea caerulea,HL,38
MT48,48,Meu_trock,MO22,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT48,48,Meu_trock,MO22,Polytrichum formosum Hedw.,ML,"0,5"
MT48,48,Meu_trock,MO22,Frangula alnus,SL,"4,5"
MT49,49,Meu_trock,MO23,Betula,HL,"0,1"
MT49,49,Meu_trock,MO23,Molinia caerulea caerulea,HL,63
MT49,49,Meu_trock,MO23,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,1"
MT49,49,Meu_trock,MO23,Polytrichum formosum Hedw.,ML,"0,5"
MT49,49,Meu_trock,MO23,Frangula alnus,SL,"0,1"
MT50,50,Meu_trock,MO24,Betula,HL,"4,5"
MT50,50,Meu_trock,MO24,Frangula alnus,HL,"0,5"
MT50,50,Meu_trock,MO24,Molinia caerulea caerulea,HL,63
MT50,50,Meu_trock,MO24,Dicranum scoparium Hedw.,ML,"0,1"
MT50,50,Meu_trock,MO24,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT50,50,Meu_trock,MO24,Polytrichum formosum Hedw.,ML,"4,5"
MT51,51,Meu_trock,MO25,Betula,HL,"0,5"
MT51,51,Meu_trock,MO25,Molinia caerulea caerulea,HL,63
MT51,51,Meu_trock,MO25,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT51,51,Meu_trock,MO25,Polytrichum formosum Hedw.,ML,"0,5"
MT51,51,Meu_trock,MO25,Frangula alnus,SL,"4,5"
MT52,52,Meu_trock,MO26,Betula,HL,"0,1"
MT52,52,Meu_trock,MO26,Molinia caerulea caerulea,HL,38
MT52,52,Meu_trock,MO26,Dicranella cerviculata (Hedw.) Schimp.,ML,"0,1"
MT52,52,Meu_trock,MO26,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT52,52,Meu_trock,MO26,Polytrichum formosum Hedw.,ML,"0,5"
MT52,52,Meu_trock,MO26,Frangula alnus,SL,"4,5"
MT53,53,Meu_trock,MO27,Betula,HL,"0,1"
MT53,53,Meu_trock,MO27,Molinia caerulea caerulea,HL,38
MT53,53,Meu_trock,MO27,Dicranella cerviculata (Hedw.) Schimp.,ML,"0,1"
MT53,53,Meu_trock,MO27,Hypnum jutlandicum Holmen & Warncke (ericetorum),ML,"0,5"
MT53,53,Meu_trock,MO27,Polytrichum formosum Hedw.,ML,"4,5"
MT54,54,Meu_trock,NM1,Pinus sylvestris,TL,18
MT54,54,Meu_trock,NM1,Molinia caerulea caerulea,HL,18
MT54,54,Meu_trock,NM1,Pteridium aquilinum,HL,18
MT54,54,Meu_trock,NM1,Vaccinium myrtillus,HL,"4,5"
MT55,55,Meu_trock,NM2,Pinus sylvestris,TL,"4,5"
MT55,55,Meu_trock,NM2,Betula,HL,"0,5"
MT55,55,Meu_trock,NM2,Molinia caerulea caerulea,HL,"0,5"
MT55,55,Meu_trock,NM2,Pteridium aquilinum,HL,63
MT55,55,Meu_trock,NM2,Vaccinium myrtillus,HL,38
MT56,56,Meu_trock,NM3,Betula,HL,"0,5"
MT56,56,Meu_trock,NM3,Molinia caerulea caerulea,HL,"4,5"
MT56,56,Meu_trock,NM3,Pteridium aquilinum,HL,63
MT56,56,Meu_trock,NM3,Vaccinium myrtillus,HL,"4,5"
MT56,56,Meu_trock,NM3,Polytrichum formosum Hedw.,ML,"0,1"
MT57,57,Meu_trock,NM4,Betula,HL,"0,5"
MT57,57,Meu_trock,NM4,Frangula alnus,HL,"0,1"
MT57,57,Meu_trock,NM4,Molinia caerulea caerulea,HL,"4,5"
MT57,57,Meu_trock,NM4,Pinus sylvestris,HL,"0,1"
MT57,57,Meu_trock,NM4,Pteridium aquilinum,HL,38
MT57,57,Meu_trock,NM4,Polytrichum formosum Hedw.,ML,"0,1"
MT58,58,Meu_trock,NM5,Betula,HL,"4,5"
MT58,58,Meu_trock,NM5,Frangula alnus,HL,"0,1"
MT58,58,Meu_trock,NM5,Molinia caerulea caerulea,HL,"4,5"
MT58,58,Meu_trock,NM5,Pteridium aquilinum,HL,88
MT58,58,Meu_trock,NM5,Polytrichum formosum Hedw.,ML,"0,5"
MT58,58,Meu_trock,NM5,Fagus sylvatica,SL,"0,5"
MT59,59,Meu_trock,NM6,Betula,HL,"4,5"
MT59,59,Meu_trock,NM6,Molinia caerulea caerulea,HL,38
MT59,59,Meu_trock,NM6,Pteridium aquilinum,HL,18
MT59,59,Meu_trock,NM6,Polytrichum formosum Hedw.,ML,"4,5"
MT60,60,Meu_trock,NM7,Betula,HL,"0,5"
MT60,60,Meu_trock,NM7,Dryopteris carthusiana (spinulosa),HL,"4,5"
MT60,60,Meu_trock,NM7,Frangula alnus,HL,"0,1"
MT60,60,Meu_trock,NM7,Molinia caerulea caerulea,HL,38
