"Name";"plot.ID";"site";"arbeitsname";"Transekt";"Transektnummer";"Art";"Schicht";"Deckung";"Wuchsform";"Sukzessionszeiger";"Moorart"
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Salix_aurita";"HL";0;"woody";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Scrophularia_nodosa";"HL";0;"";TRUE;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Vaccinium_myrtillus";"HL";0,5;"woody";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Vaccinium_oxycoccos";"HL";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Typha_latifolia";"HL";0;"";NA;TRUE
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Campylopus_flexuosus";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Campylopus_pyriformis";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Dicranella_cerviculata";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Dicranodontium_denudatum";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Dicranum_flagellare";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Dicranum_scoparia";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Fuscocephaloziopsis_connivens";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Hypnum_cupressiforme";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Hypnum_jutlandicum";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Lepidozia_reptans";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Leucobryum_glaucum";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Lophocolea_heterophylla";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Mnium_hornum";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Pohlia_nutans";"ML";0;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Polytrichum_formosum";"ML";4,5;"";NA;NA
"MT2";2;"Meu_trock";"WM2";"WO";-24;"Riccardia_latifrons";"ML";0;"";NA;NA
