id	taxonID	scientificName	kingdom
Brachythecium capillaceum (Starke ex Web. & Mohr) Giac.	Brachythecium capillaceum (Starke ex Web. & Mohr) Giac.	Brachythecium capillaceum (Starke ex Web. & Mohr) Giac.	Plantae
Brachythecium collinum (C. Muell.) B., S. & G.	Brachythecium collinum (C. Muell.) B., S. & G.	Brachythecium collinum (C. Muell.) B., S. & G.	Plantae
Brachythecium curtum (Lindb.) J. Lange & C. Jens. (oedipodium)	Brachythecium curtum (Lindb.) J. Lange & C. Jens. (oedipodium)	Brachythecium curtum (Lindb.) J. Lange & C. Jens. (oedipodium)	Plantae
Brachythecium erythrorrhizon B., S. & G.	Brachythecium erythrorrhizon B., S. & G.	Brachythecium erythrorrhizon B., S. & G.	Plantae
Brachythecium glaciale B., S. & G.	Brachythecium glaciale B., S. & G.	Brachythecium glaciale B., S. & G.	Plantae
Brachythecium glareosum (Spruce) B., S. & G. var. glareosum	Brachythecium glareosum (Spruce) B., S. & G. var. glareosum	Brachythecium glareosum (Spruce) B., S. & G. var. glareosum	Plantae
Brachythecium glareosum var. alpinum (De Not.) Limpr.	Brachythecium glareosum var. alpinum (De Not.) Limpr.	Brachythecium glareosum var. alpinum (De Not.) Limpr.	Plantae
Brachythecium latifolium Kindb.	Brachythecium latifolium Kindb.	Brachythecium latifolium Kindb.	Plantae
Brachythecium mildeanum (Schimp.) Schimp. ex Milde	Brachythecium mildeanum (Schimp.) Schimp. ex Milde	Brachythecium mildeanum (Schimp.) Schimp. ex Milde	Plantae
Brachythecium oxycladum (Brid.) Jaeg. (laetum)	Brachythecium oxycladum (Brid.) Jaeg. (laetum)	Brachythecium oxycladum (Brid.) Jaeg. (laetum)	Plantae
Brachythecium plumosum (Hedw.) B., S. & G.	Brachythecium plumosum (Hedw.) B., S. & G.	Brachythecium plumosum (Hedw.) B., S. & G.	Plantae
Brachythecium populeum (Hedw.) B., S. & G. var. populeum	Brachythecium populeum (Hedw.) B., S. & G. var. populeum	Brachythecium populeum (Hedw.) B., S. & G. var. populeum	Plantae
Brachythecium populeum var. amoenum (Milde) Limpr.	Brachythecium populeum var. amoenum (Milde) Limpr.	Brachythecium populeum var. amoenum (Milde) Limpr.	Plantae
Brachythecium reflexum (Starke ex Web. & Mohr) B., S. & G.	Brachythecium reflexum (Starke ex Web. & Mohr) B., S. & G.	Brachythecium reflexum (Starke ex Web. & Mohr) B., S. & G.	Plantae
Brachythecium rivulare B., S. & G.	Brachythecium rivulare B., S. & G.	Brachythecium rivulare B., S. & G.	Plantae
Brachythecium rutabulum (Hedw.) B., S. & G. var. rutabulum	Brachythecium rutabulum (Hedw.) B., S. & G. var. rutabulum	Brachythecium rutabulum (Hedw.) B., S. & G. var. rutabulum	Plantae
Brachythecium rutabulum var. flavescens B., S. & G.	Brachythecium rutabulum var. flavescens B., S. & G.	Brachythecium rutabulum var. flavescens B., S. & G.	Plantae
Brachythecium rutabulum var. turgescens Limpr.	Brachythecium rutabulum var. turgescens Limpr.	Brachythecium rutabulum var. turgescens Limpr.	Plantae
Brachythecium salebrosum (Web. & Mohr) B., S. & G. var. salebrosum	Brachythecium salebrosum (Web. & Mohr) B., S. & G. var. salebrosum	Brachythecium salebrosum (Web. & Mohr) B., S. & G. var. salebrosum	Plantae
Brachythecium salebrosum var. vineale (Milde) Podp.	Brachythecium salebrosum var. vineale (Milde) Podp.	Brachythecium salebrosum var. vineale (Milde) Podp.	Plantae
Brachythecium starkei (Brid.) B., S. & G. var. starkei	Brachythecium starkei (Brid.) B., S. & G. var. starkei	Brachythecium starkei (Brid.) B., S. & G. var. starkei	Plantae
Brachythecium starkei var. tromsoense (Kaur. & Arn.) Nyh.	Brachythecium starkei var. tromsoense (Kaur. & Arn.) Nyh.	Brachythecium starkei var. tromsoense (Kaur. & Arn.) Nyh.	Plantae
Brachythecium trachypodium (Brid.) B., S. & G.	Brachythecium trachypodium (Brid.) B., S. & G.	Brachythecium trachypodium (Brid.) B., S. & G.	Plantae
Brachythecium turgidum (C. Hartm.) Kindb.	Brachythecium turgidum (C. Hartm.) Kindb.	Brachythecium turgidum (C. Hartm.) Kindb.	Plantae
Brachythecium velutinum (Hedw.) B., S. & G. var. velutinum	Brachythecium velutinum (Hedw.) B., S. & G. var. velutinum	Brachythecium velutinum (Hedw.) B., S. & G. var. velutinum	Plantae
Brachythecium velutinum var. salicinum (B., S. & G.) Moenk.	Brachythecium velutinum var. salicinum (B., S. & G.) Moenk.	Brachythecium velutinum var. salicinum (B., S. & G.) Moenk.	Plantae
Brachythecium velutinum var. vagans (Milde) Warnst.	Brachythecium velutinum var. vagans (Milde) Warnst.	Brachythecium velutinum var. vagans (Milde) Warnst.	Plantae
Braunia alopecura (Brid.) Limpr.	Braunia alopecura (Brid.) Limpr.	Braunia alopecura (Brid.) Limpr.	Plantae
Breutelia chrysocoma (Hedw.) Lindb.	Breutelia chrysocoma (Hedw.) Lindb.	Breutelia chrysocoma (Hedw.) Lindb.	Plantae
Brotherella lorentziana (Mol. ex Lor.) Loeske	Brotherella lorentziana (Mol. ex Lor.) Loeske	Brotherella lorentziana (Mol. ex Lor.) Loeske	Plantae
Bruchia flexuosa (Sw. ex Schwaegr.) C. Muell. (trobasiana)	Bruchia flexuosa (Sw. ex Schwaegr.) C. Muell. (trobasiana)	Bruchia flexuosa (Sw. ex Schwaegr.) C. Muell. (trobasiana)	Plantae
Bruchia vogesiaca Schwaegr.	Bruchia vogesiaca Schwaegr.	Bruchia vogesiaca Schwaegr.	Plantae
Bryoerythrophyllum alpigenum (Vent.) Chen	Bryoerythrophyllum alpigenum (Vent.) Chen	Bryoerythrophyllum alpigenum (Vent.) Chen	Plantae
Bryoerythrophyllum ferruginascens (Stirt.) Giac.	Bryoerythrophyllum ferruginascens (Stirt.) Giac.	Bryoerythrophyllum ferruginascens (Stirt.) Giac.	Plantae
Bryoerythrophyllum recurvirostrum (Hedw.) Chen	Bryoerythrophyllum recurvirostrum (Hedw.) Chen	Bryoerythrophyllum recurvirostrum (Hedw.) Chen	Plantae
Bryoerythrophyllum rubrum (Jur. ex Geh.) Chen	Bryoerythrophyllum rubrum (Jur. ex Geh.) Chen	Bryoerythrophyllum rubrum (Jur. ex Geh.) Chen	Plantae
Bryum algovicum Sendt. ex C. Muell. var. algovicum (pendulum)	Bryum algovicum Sendt. ex C. Muell. var. algovicum (pendulum)	Bryum algovicum Sendt. ex C. Muell. var. algovicum (pendulum)	Plantae
Bryum algovicum var. compactum (Hornsch.) comb. nov.	Bryum algovicum var. compactum (Hornsch.) comb. nov.	Bryum algovicum var. compactum (Hornsch.) comb. nov.	Plantae
Bryum alpinum Huds. ex With.	Bryum alpinum Huds. ex With.	Bryum alpinum Huds. ex With.	Plantae
Bryum archangelicum B., S. & G.	Bryum archangelicum B., S. & G.	Bryum archangelicum B., S. & G.	Plantae
Bryum arcticum (R. Br.) B., S. & G. ssp. arcticum	Bryum arcticum (R. Br.) B., S. & G. ssp. arcticum	Bryum arcticum (R. Br.) B., S. & G. ssp. arcticum	Plantae
Bryum arcticum ssp. watzmannii (H. Winter) Amann	Bryum arcticum ssp. watzmannii (H. Winter) Amann	Bryum arcticum ssp. watzmannii (H. Winter) Amann	Plantae
Bryum argenteum Hedw.	Bryum argenteum Hedw.	Bryum argenteum Hedw.	Plantae
Bryum bicolor Dicks. (barnesii)	Bryum bicolor Dicks. (barnesii)	Bryum bicolor Dicks. (barnesii)	Plantae
